name,handedness,height,weight,avg,HR
Jerry Reuss,L,77,200,0.167,1
Ray Burris,R,77,200,0.151,1
Dick Ruthven,R,75,190,0.183,1
Jose Arcia,R,75,170,0.215,1
Jim Barr,R,75,205,0.162,1
Gary Nolan,R,74,197,0.138,1
Bob Randall,R,74,175,0.257,1
Woody Woodward,R,74,180,0.236,1
Don Wilson,R,74,195,0.146,1
Joe Niekro,R,73,185,0.156,1
Denny McLain,R,73,185,0.133,1
Bruce Miller,R,73,185,0.246,1
Duane Kuiper,L,72,175,0.271,1
Steve Blass,R,72,165,0.172,1
Bob Heise,R,72,175,0.247,1
Ray Culp,R,72,200,0.123,1
Mario Soto,R,72,174,0.132,1
Darrell Brown,B,72,184,0.274,1
Joe Strain,R,70,169,0.25,1
Brock Davis,L,70,160,0.26,1
Pepe Frias,R,70,159,0.24,1
Gil Garrido,R,69,150,0.237,1
Sam McDowell,L,77,190,0.154,2
Danny Ainge,R,76,175,0.22,2
Woodie Fryman,R,75,197,0.138,2
Jerry Koosman,R,74,205,0.119,2
Ken Holtzman,R,74,175,0.163,2
Mike Ramsey,B,73,170,0.24,2
Barry Evans,R,73,180,0.251,2
Fritz Peterson,B,72,185,0.159,2
Angel Salazar,R,72,180,0.212,2
Mike Champion,R,72,185,0.229,2
Frank Taveras,R,72,155,0.255,2
Glenn Burke,R,72,195,0.237,2
Chico Ruiz,B,72,169,0.24,2
Al Downing,R,71,175,0.127,2
Jose Tartabull,L,71,165,0.261,2
Tom Lawless,R,71,170,0.207,2
Mike Edwards,R,70,154,0.25,2
Nate Oliver,R,70,160,0.226,2
Jack Perconte,L,70,160,0.27,2
Rick Peters,B,69,170,0.277,2
Rudy Meoli,L,69,165,0.212,2
Enzo Hernandez,R,68,155,0.224,2
Ron Theobald,R,68,165,0.248,2
Jim Lonborg,R,77,200,0.136,3
Dave Skaggs,R,74,200,0.241,3
Jerry Zimmerman,R,74,185,0.204,3
Jerry Dybzinski,R,74,180,0.234,3
Mike Fischlin,R,73,165,0.22,3
Joe Nossek,R,72,178,0.228,3
Rodney Scott,B,72,160,0.236,3
Mark Wagner,R,72,165,0.243,3
Rob Andrews,R,72,185,0.251,3
Don Mason,L,71,160,0.205,3
Skip Jutze,R,71,190,0.215,3
Bobby Mitchell,L,70,170,0.243,3
Bryan Little,B,70,160,0.245,3
Winston Llenas,R,70,165,0.23,3
Manny Castillo,B,69,160,0.242,3
Ron Brand,R,67,167,0.239,3
